Time,Zone,Entry,Exit,Total
2026-03-11 01:40:13.056689,All,0,0,0
2026-03-11 01:40:13.222555,All,0,0,1
2026-03-11 01:40:13.370339,All,0,0,2
2026-03-11 01:40:13.511150,All,0,0,2
2026-03-11 01:40:13.646266,All,0,0,1
2026-03-11 01:40:13.781285,All,0,0,1
2026-03-11 01:40:13.903830,All,0,0,2
2026-03-11 01:40:14.034705,All,0,0,2
2026-03-11 01:40:14.162853,All,0,0,1
2026-03-11 01:40:14.294603,All,0,0,1
2026-03-11 01:40:14.461244,All,0,0,1
2026-03-11 01:40:14.614499,All,0,1,1
2026-03-11 01:40:14.746792,All,0,1,0
2026-03-11 01:40:14.877800,All,0,1,0
2026-03-11 01:40:15.013695,All,0,1,0
2026-03-11 01:40:15.144501,All,0,1,0
2026-03-11 01:40:15.272442,All,0,1,0
2026-03-11 01:40:15.397886,All,0,1,0
2026-03-11 01:40:15.525823,All,0,1,0
2026-03-11 01:40:15.659288,All,0,1,5
2026-03-11 01:40:15.828012,All,0,1,4
2026-03-11 01:40:16.016882,All,0,1,1
2026-03-11 01:40:16.168912,All,0,1,0
2026-03-11 01:40:16.300045,All,0,1,0
2026-03-11 01:40:16.427754,All,0,1,2
2026-03-11 01:40:16.551992,All,0,1,0
2026-03-11 01:40:16.677372,All,0,1,2
2026-03-11 01:40:16.809057,All,0,2,1
2026-03-11 01:40:16.935854,All,1,2,1
2026-03-11 01:40:17.062808,All,1,2,1
2026-03-11 01:40:17.188799,All,1,2,1
2026-03-11 01:40:17.314767,All,1,2,1
2026-03-11 01:40:17.442319,All,1,2,3
2026-03-11 01:40:17.564596,All,1,2,1
2026-03-11 01:40:17.693312,All,1,2,2
2026-03-11 01:40:17.820941,All,2,2,2
2026-03-11 01:40:17.945986,All,2,2,2
2026-03-11 01:40:18.076094,All,2,2,3
2026-03-11 01:40:18.202061,All,2,2,2
2026-03-11 01:40:18.328881,All,2,2,3
2026-03-11 01:40:18.458411,All,3,2,3
2026-03-11 01:40:18.582390,All,3,2,3
2026-03-11 01:40:18.708734,All,3,3,4
2026-03-11 01:40:18.838767,All,6,3,4
2026-03-11 01:40:18.962337,All,6,3,4
2026-03-11 01:40:19.090304,All,6,3,2
2026-03-11 01:40:19.218504,All,6,3,3
2026-03-11 01:40:19.348121,All,6,4,3
2026-03-11 01:40:19.473258,All,6,4,1
2026-03-11 01:40:19.596647,All,6,4,0
2026-03-11 01:40:19.721147,All,6,4,1
2026-03-11 01:40:19.848419,All,6,4,2
2026-03-11 01:40:19.987435,All,6,4,1
Time,Zone,Entry,Exit,Total
2026-03-11 20:26:10.400879,All,0,0,0
2026-03-11 20:26:10.600221,All,0,0,1
2026-03-11 20:26:10.796117,All,0,0,2
2026-03-11 20:26:10.948148,All,0,0,2
2026-03-11 20:26:11.099411,All,0,0,1
2026-03-11 20:26:11.245078,All,0,0,1
2026-03-11 20:26:11.393317,All,0,0,2
2026-03-11 20:26:11.572756,All,0,0,2
2026-03-11 20:26:11.752469,All,0,0,1
2026-03-11 20:26:11.903899,All,0,0,1
2026-03-11 20:26:12.060416,All,0,0,1
2026-03-11 20:26:12.219026,All,0,1,1
2026-03-11 20:26:12.364842,All,0,1,0
2026-03-11 20:26:12.508802,All,0,1,0
2026-03-11 20:26:12.661965,All,0,1,0
2026-03-11 20:26:12.824342,All,0,1,0
2026-03-11 20:26:12.966511,All,0,1,0
